Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
Wu Shan Wu Xing,"Animation, Action, Adventure",28 min,8.3,846,(2020–2023),Certificate N/A,"A legend tells that monsters could give the ability to certain elected officials to master the five elements. But for that, you have to go through the dangerous foggy mountains. Follows the adventures of one of these elected officials.","Star:
Tu-Te-Ha-Meng",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Future Man,"Action, Adventure, Comedy",30 min,7.7,"27,384",(2017–2020),Certificate N/A,"Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity.","Josh Hutcherson, Eliza Coupe, Derek Wilson, Haley Joel Osment",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Scooby Doo, Where Are You!","Animation, Adventure, Comedy",22 min,7.9,"39,313",(1969–1978),Certificate N/A,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function.","Don Messick, Casey Kasem, Nicole Jaffe, Vic Perrin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Fairly OddParents,"Animation, Adventure, Comedy",30 min,7.2,"44,337",(2001–2017),Certificate N/A,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences.","Tara Strong, Susanne Blakeslee, Daran Norris, Carlos Alazraqui",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman Beyond,"Animation, Action, Adventure",23 min,8.1,"29,445",(1999–2001),Certificate N/A,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham.","Will Friedle, Kevin Conroy, Lauren Tom, Cree Summer",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Man from U.N.C.L.E.,"Action, Adventure, Crime",50 min,7.7,"5,934",(1964–1968),Certificate N/A,"The two top Agents of the United Network Command for Law and Enforcement (U.N.C.L.E.) fight the enemies of peace, particularly the forces of T.H.R.U.S.H.","Robert Vaughn, David McCallum, Leo G. Carroll, John Herman Shaner",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventure Time: Distant Lands,"Animation, Action, Adventure",42 min,8.7,"6,381",(2020–2021),Certificate N/A,Adventure Time has a sequel with new adventures around other worlds.,"Tom Kenny, John DiMaggio, Jeremy Shada, Hynden Walch",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
LazyTown,"Adventure, Comedy, Family",30 min,5.9,"8,072",(2002–2014),Certificate N/A,"In this Nick Jr. television show, a pink-haired girl named Stephanie moves to LazyTown with her uncle (the mayor of LazyTown), where she tries to teach its extremely lazy residents that physical activity is beneficial.","Lorraine Parsloe, Magnús Scheving, Stefán Karl Stefánsson, Julianna Rose Mauriello",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sesame Street,"Adventure, Comedy, Family",55 min,8.1,"14,792",(1969– ),Certificate N/A,"On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs.","Jim Henson, Frank Oz, Caroll Spinney, Jerry Nelson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The New Legends of Monkey,"Action, Adventure, Comedy",24 min,6.5,"4,857",(2018–2020),Certificate N/A,"Entering the mythical world of the Monkey King, where a young monk and his group of disciples are on a journey to collect scrolls of Buddhist wisdom.","Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Powerpuff Girls,"Animation, Action, Adventure",30 min,7.3,"45,851",(1998–2004),Certificate N/A,"Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things.","Cathy Cavadini, Elizabeth Daily, Tara Strong, Tom Kenny",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Protector,"Action, Adventure, Drama",40 min,6.5,"36,028",(2018–2020),Certificate N/A,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Renegade,"Action, Adventure, Crime",43 min,5.9,"5,574",(1992–1997),Certificate N/A,"After crooked cop Lieutenant ""Dutch"" Dixon kills his girlfriend and frames him for murder, Reno Raines escapes from jail and goes on the run.","Lorenzo Lamas, Branscombe Richmond, Don LaFontaine, Kathleen Kinmont",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hasta el cielo: La serie,"Action, Adventure, Crime",40 min,6.3,"1,169",(2023),Certificate N/A,"To remain independent of her father, who's a stolen-goods trafficker, a newly widowed single mom joins her late husband's gang of smash-and-grab thieves.","Asia Ortega, Luis Tosar, Álvaro Rico, Richard Holmes",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Panic,"Adventure, Crime, Drama",Run Time N/A,6.6,"9,086",(2021),Certificate N/A,"No one knows who invented Panic or when it first began. But in the forgotten rural town of Carp, Texas, the game is the only way out. Every summer the graduating seniors risk their lives competing in a series of challenges that force them to confront their deepest fears for the chance to win life-changing money. Anyone can play. Only one will win. Let the games begin.","Olivia Scott Welch, Mike Faist, Jessica Sula, Ray Nicholson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Acolyte,"Action, Adventure, Drama",Run Time N/A,Rating N/A,Votes N/A,(2024– ),Certificate N/A,Star Wars series that takes viewers into a galaxy of shadowy secrets and emerging dark-side powers in the final days of the High Republic era.,"Dafne Keen, Amandla Stenberg, Jodie Turner-Smith, Joonas Suotamo",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kurulus: Osman,"Action, Adventure, Drama",120 min,7.6,"11,116",(2019– ),Certificate N/A,"The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.","Burak Özçivit, Özge Törer, Yigit Ucan, Cagri Sensoy",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lost Symbol,"Action, Adventure, Drama",45 min,6.4,"12,923",(2021),Certificate N/A,"Based on the 2009 Dan Brown novel of the same name, The Lost Symbol is the story of a young Robert Langdon (Ashley Zukerman) being tasked by the CIA to solve a number of puzzles when his mentor (Eddie Izzard) is taken.","Ashley Zukerman, Eddie Izzard, Valorie Curry, Beau Knapp",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dungeons & Dragons,"Animation, Action, Adventure",30 min,8.0,"5,905",(1983–1985),Certificate N/A,"A group of kids are thrown into a fantasy world where they must search for a way home, armed with magic weapons that an evil tyrant wants.","Willie Aames, Don Most, Adam Rich, Peter Cullen",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Castlevania: Nocturne,"Animation, Action, Adventure",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,"During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire.","Zahn McClarnon, Sophie Skelton, Nastassja Kinski, Richard Dormer",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
She-Ra and the Princesses of Power,"Animation, Action, Adventure",30 min,8.1,"18,136",(2018–2020),Certificate N/A,"She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde.","Aimee Carrero, Marcus Scribner, Karen Fukuhara, AJ Michalka",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Passage,"Action, Adventure, Drama",60 min,7.3,"12,242",(2019),Certificate N/A,"When a botched U.S. government experiment turns a group of death row inmates into highly infectious vampires, an orphan girl might be the only person able to stop the ensuing crisis.","Mark-Paul Gosselaar, Saniyya Sidney, Jamie McShane, Caroline Chikezie",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
That Time I Got Reincarnated as a Slime,"Animation, Action, Adventure",25 min,8.1,"13,326",(2018– ),Certificate N/A,Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable-a slime.,"Miho Okasaki, Megumi Toyoguchi, Brittney Karbowski, Mallorie Rodak",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dexter's Laboratory,"Animation, Short, Adventure",23 min,7.9,"51,955",(1996–2003),Certificate N/A,The misadventures of a boy genius and his annoying sister.,"Kath Soucie, Jeff Bennett, Christine Cavanaugh, Frank Welker",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Terra Nova,"Adventure, Drama, Mystery",46 min,6.7,"85,100",(2011),Certificate N/A,"Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization.","Jason O'Mara, Shelley Conn, Christine Adams, Allison Miller",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Knight,"Action, Adventure, Sci-Fi",45 min,6.4,"6,304",(2023– ),Certificate N/A,"A legendary delivery driver ""5-8"" with exceptional battle skills And a refugee ""Sawol"" who dreams of following in his footsteps.","Kim Woo-bin, Song Seung-heon, Kang You-Seok, Esom",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Key and Peele,"Action, Adventure, Comedy",30 min,8.3,"24,413",(2012–2015),Certificate N/A,Project sees Keegan-Michael Key and Jordan Peele in front of a live studio audience bantering about a topic weaved between filmed shorts and sketches.,"Keegan-Michael Key, Jordan Peele, Metta World Peace, Brendan Hunt",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rurouni Kenshin: Meiji Kenkaku Romantan,"Animation, Action, Adventure",24 min,8.3,521,(2023– ),Certificate N/A,"During the violent era known as the Bakumatsu, there was an Ishin assassin known only as the Hitokiri Battousai, whose skill and brutality became near legendary in the age of Restoration he...                See full summary »","Rie Takahashi, Sôma Saitô, Makoto Koichi, Taku Yashiro",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Final Space,"Animation, Action, Adventure",30 min,8.2,"46,747",(2018–2021),Certificate N/A,An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,"Fred Armisen, Tom Kenny, Olan Rogers, Tika Sumpter",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Tick,"Action, Adventure, Comedy",29 min,7.4,"19,250",(2016–2019),Certificate N/A,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.","Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Akame ga Kill!,"Animation, Action, Adventure",24 min,7.8,"27,598",(2014),Certificate N/A,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,"Sôma Saitô, Corey Hartzog, Sora Amamiya, Molly Searcy",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: Clone Wars,"Animation, Action, Adventure",133 min,7.8,"27,982",(2003–2005),Certificate N/A,The events and battles of the Galactic Republic's last major war are recounted.,"Mat Lucas, James Arnold Taylor, André Sogliuzzo, Tom Kane",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Curious George,"Animation, Adventure, Comedy",30 min,7.2,"3,074",(2006–2022),Certificate N/A,Follows the mischievous adventures of a Monkey by the name of George.,"Frank Welker, Jeff Bennett, Rino Romano, Jim Cummings",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Primeval,"Action, Adventure, Drama",60 min,7.2,"15,085",(2007–2011),Certificate N/A,"When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future.","Andrew Lee Potts, Hannah Spearritt, Ben Miller, Juliet Aubrey",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Entrevías,"Action, Adventure, Crime",79 min,6.9,"4,048",(2021– ),Certificate N/A,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.","Jose Coronado, Nona Sobo, Felipe Londoño, Laura Ramos",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The I-Land,"Adventure, Drama, Mystery",281 min,4.7,"18,678",(2019),Certificate N/A,"When ten people wake up on a treacherous island with no memory of who they are and how they got there, they set off on a trek to try to get back home, only to discover the world is not as it seems.","Natalie Martinez, Kate Bosworth, Ronald Peet, Sibylla Deen",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shogun,"Adventure, Drama, History",Run Time N/A,Rating N/A,Votes N/A,(2023– ),Certificate N/A,"Set in the 17th Century, John Blackthorne, a sailor who rises from outsider to samurai, while being used as a pawn in Japanese leader Toranaga's struggle to reach the top of the ruling chain, or Shogun.","Hiroyuki Sanada, Cosmo Jarvis, Tadanobu Asano, Anna Sawai",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
SeaQuest DSV,"Action, Adventure, Family",60 min,6.7,"7,483",(1993–1996),Certificate N/A,"In the early 21st century, mankind has colonized the oceans. The United Earth Oceans Organization enlists Captain Nathan Bridger and the submarine seaQuest DSV to keep the peace and explore the last frontier on Earth.","Jonathan Brandis, Don Franklin, Ted Raimi, Darwin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Thomas the Tank Engine & Friends,"Animation, Short, Adventure",11 min,6.5,"5,940",(1984–2021),Certificate N/A,This series follows the adventures of Thomas the Tank Engine and all of his engine friends on the Island of Sodor.,"Michael Angelis, Keith Wickham, Michael Brandon, Kerry Shale",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Loud House,"Animation, Action, Adventure",22 min,7.0,"7,617",(2014– ),Certificate N/A,"Lincoln Loud is an eleven-year-old boy who lives with ten sisters. With the help of his right-hand man Clyde, Lincoln finds new ways to survive in such a large family every day.","Grey Griffin, Lara Jill Miller, Jessica DiCicco, Brian Stepanek",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Midnight Gospel,"Animation, Adventure, Comedy",23 min,8.2,"23,096",(2020),Certificate N/A,"Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","Phil Hendrie, Duncan Trussell, Joey Diaz, Doug Lussenhop",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
